T,chi,chi_err
1.000000000000000000e+00,1.800000000000000000e+01,nan
1.875000000000000000e+00,9.599999999999999645e+00,nan
2.750000000000000000e+00,6.545454545454545858e+00,nan
3.625000000000000000e+00,4.965517241379310498e+00,nan
4.500000000000000000e+00,4.000000000000000000e+00,nan
5.375000000000000000e+00,3.348837209302325757e+00,nan
6.250000000000000000e+00,2.879093324444444768e+00,7.399198104173919550e-04
7.125000000000000000e+00,2.524725146198830483e+00,9.172090816717429294e-04
8.000000000000000000e+00,2.246219972222222250e+00,1.330625527521897035e-03
8.875000000000000000e+00,2.018829420970266408e+00,2.014329933910532274e-03
9.750000000000000000e+00,1.829218552706552980e+00,2.819051786318330262e-03
1.062500000000000000e+01,1.670765129411764693e+00,3.114902904731905835e-03
1.150000000000000000e+01,1.533002898550724469e+00,3.683901427001342547e-03
1.237500000000000000e+01,1.409965571268237738e+00,4.030252595751792309e-03
1.325000000000000000e+01,1.296259752620545047e+00,5.084885889484894519e-03
1.412500000000000000e+01,1.198882595870206291e+00,5.409032829383337432e-03
1.500000000000000000e+01,1.099138607407407209e+00,6.372261378768916996e-03
1.587500000000000000e+01,1.012549343832020776e+00,6.989489250872044264e-03
1.675000000000000000e+01,9.377931542288556743e-01,7.098204733502173382e-03
1.762500000000000000e+01,8.619966713947989634e-01,8.551594036103562016e-03
1.850000000000000000e+01,7.796496216216216579e-01,9.793875930791172066e-03
1.937500000000000000e+01,6.995171440860215029e-01,1.128394236004866963e-02
2.025000000000000000e+01,6.346239890260629846e-01,1.188701053507068041e-02
2.112500000000000000e+01,5.738984773175541676e-01,1.249270438120778613e-02
2.200000000000000000e+01,5.156301994949494816e-01,1.156358156562733303e-02
