T,chi,chi_err
1.000000000000000000e+00,1.800000000000000000e+01,nan
1.875000000000000000e+00,9.599999999999999645e+00,nan
2.750000000000000000e+00,6.544767656565656289e+00,9.713790125390956006e-04
3.625000000000000000e+00,4.956137931034482413e+00,3.113114393572458203e-03
4.500000000000000000e+00,3.969180246913580401e+00,5.359553462416075456e-03
5.375000000000000000e+00,3.288414098191215107e+00,7.109854317629119708e-03
6.250000000000000000e+00,2.763426408888888908e+00,9.120470959445738449e-03
7.125000000000000000e+00,2.327437964912280943e+00,1.334135696652944368e-02
8.000000000000000000e+00,1.954119937500000015e+00,1.832238502173949915e-02
8.875000000000000000e+00,1.603704381846635441e+00,2.254903365572901233e-02
9.750000000000000000e+00,1.292334900284900501e+00,2.518426249547102425e-02
1.062500000000000000e+01,1.051628235294117530e+00,2.612361772835926355e-02
1.150000000000000000e+01,8.159177584541063011e-01,2.624410174441680482e-02
1.237500000000000000e+01,6.282717665544332863e-01,2.068888226197888869e-02
1.325000000000000000e+01,5.013317232704402882e-01,2.105317869561588312e-02
1.412500000000000000e+01,4.005187807276302525e-01,1.696386037770205787e-02
1.500000000000000000e+01,3.412250925925925937e-01,1.506551155295175748e-02
1.587500000000000000e+01,2.813508311461067612e-01,1.359065612406873402e-02
1.675000000000000000e+01,2.347572935323383181e-01,1.161857264257986494e-02
1.762500000000000000e+01,2.021437226162332568e-01,9.735051417208349239e-03
1.850000000000000000e+01,1.828166696696697235e-01,1.098926620003554296e-02
1.937500000000000000e+01,1.591370293906810285e-01,8.723684997368589406e-03
2.025000000000000000e+01,1.427472592592592682e-01,8.283272994406584364e-03
2.112500000000000000e+01,1.253340065746219589e-01,7.868629470545345991e-03
2.200000000000000000e+01,1.197193535353535399e-01,7.092147987762138610e-03
