T,chi,chi_err
1.000000000000000000e+00,6.100000000000000000e+01,nan
1.875000000000000000e+00,3.253333333333333144e+01,nan
2.750000000000000000e+00,2.218181818181818343e+01,nan
3.625000000000000000e+00,1.682758620689655160e+01,nan
4.500000000000000000e+00,1.355555555555555536e+01,nan
5.375000000000000000e+00,1.134883720930232620e+01,nan
6.250000000000000000e+00,9.759999999999999787e+00,nan
7.125000000000000000e+00,8.561403508771929793e+00,nan
8.000000000000000000e+00,7.625000000000000000e+00,nan
8.875000000000000000e+00,6.873239436619718035e+00,nan
9.750000000000000000e+00,6.256410256410256387e+00,nan
1.062500000000000000e+01,5.741176470588235325e+00,nan
1.150000000000000000e+01,5.304347826086956097e+00,nan
1.237500000000000000e+01,4.929292929292929060e+00,nan
1.325000000000000000e+01,4.603773584905660243e+00,nan
1.412500000000000000e+01,4.318584070796459784e+00,nan
1.500000000000000000e+01,4.066666666666666430e+00,nan
1.587500000000000000e+01,3.842519685039369914e+00,nan
1.675000000000000000e+01,3.641791044776119257e+00,nan
1.762500000000000000e+01,3.460881291942797588e+00,1.578473456433171040e-04
1.850000000000000000e+01,3.297297297297297369e+00,nan
1.937500000000000000e+01,3.148082495187731311e+00,2.485810169691677132e-04
2.025000000000000000e+01,3.012345679012345734e+00,nan
2.112500000000000000e+01,2.887015226307110272e+00,3.221821655989478704e-04
2.200000000000000000e+01,2.771922497019374099e+00,3.786118614161205608e-04
