T,chi,chi_err
1.000000000000000000e+00,6.100000000000000000e+01,nan
1.875000000000000000e+00,3.253333333333333144e+01,nan
2.750000000000000000e+00,2.218181818181818343e+01,nan
3.625000000000000000e+00,1.682758620689655160e+01,nan
4.500000000000000000e+00,1.355555555555555536e+01,nan
5.375000000000000000e+00,1.134883720930232620e+01,nan
6.250000000000000000e+00,9.759999999999999787e+00,nan
7.125000000000000000e+00,8.561403508771929793e+00,nan
8.000000000000000000e+00,7.624508188524589336e+00,4.916802509746076143e-04
8.875000000000000000e+00,6.872574446548139981e+00,5.426768680312815847e-04
9.750000000000000000e+00,6.255804958385875914e+00,4.939750978233457910e-04
1.062500000000000000e+01,5.738208337897781952e+00,1.099281444269701886e-03
1.150000000000000000e+01,5.301781894511760740e+00,9.336585025073963415e-04
1.237500000000000000e+01,4.921980439145554165e+00,1.507495414358495838e-03
1.325000000000000000e+01,4.595003623878750609e+00,1.689710464796455964e-03
1.412500000000000000e+01,4.304252999854924155e+00,2.085392711657451000e-03
1.500000000000000000e+01,4.042959553005464279e+00,2.592538102025368323e-03
1.587500000000000000e+01,3.816917665160706630e+00,2.557439077859691677e-03
1.675000000000000000e+01,3.600712655737704715e+00,3.195974277761084829e-03
1.762500000000000000e+01,3.412004623648412949e+00,3.409490474866542185e-03
1.850000000000000000e+01,3.232645989366415673e+00,4.018212484755086071e-03
1.937500000000000000e+01,3.071336498360655476e+00,4.329974037506933646e-03
2.025000000000000000e+01,2.919795001011940450e+00,4.440259239529116379e-03
2.112500000000000000e+01,2.776611610049471324e+00,5.036121105712026980e-03
2.200000000000000000e+01,2.643004935916542397e+00,5.529312811986602724e-03
