T,chi,chi_err
1.000000000000000000e+00,2.500000000000000000e+01,nan
1.875000000000000000e+00,1.333333333333333393e+01,nan
2.750000000000000000e+00,9.090909090909091717e+00,nan
3.625000000000000000e+00,6.896551724137930606e+00,nan
4.500000000000000000e+00,5.555555555555555358e+00,nan
5.375000000000000000e+00,4.650805573953488370e+00,5.051702399546683210e-04
6.250000000000000000e+00,3.999385574400000198e+00,6.142463039375574549e-04
7.125000000000000000e+00,3.505807444210526036e+00,1.260778211823658599e-03
8.000000000000000000e+00,3.120199820000000290e+00,1.510662454198575307e-03
8.875000000000000000e+00,2.806517165070421704e+00,2.295064627916089221e-03
9.750000000000000000e+00,2.546461534358974710e+00,2.815038258145333410e-03
1.062500000000000000e+01,2.329339120941176233e+00,2.976826083549527664e-03
1.150000000000000000e+01,2.141224055652173774e+00,3.739044264247574304e-03
1.237500000000000000e+01,1.973577564444444654e+00,3.837993093329156516e-03
1.325000000000000000e+01,1.825732479999999880e+00,4.465145975367964572e-03
1.412500000000000000e+01,1.683988159999999734e+00,5.494072106709164093e-03
1.500000000000000000e+01,1.567110610666666570e+00,5.673751133105603243e-03
1.587500000000000000e+01,1.443091630866141450e+00,6.777300259720370201e-03
1.675000000000000000e+01,1.337271823283582073e+00,7.885100774704081189e-03
1.762500000000000000e+01,1.240488088510638409e+00,8.389597012180442792e-03
1.850000000000000000e+01,1.137342614054054124e+00,9.513799630792022649e-03
1.937500000000000000e+01,1.047771135999999936e+00,9.794373611518218323e-03
2.025000000000000000e+01,9.631318518518516836e-01,1.011144493381002478e-02
2.112500000000000000e+01,8.707853462721893978e-01,1.234066905642814890e-02
2.200000000000000000e+01,7.911909800000000992e-01,1.361199099074865762e-02
