T,chi,chi_err
1.000000000000000000e+00,6.100000000000000000e+01,nan
1.875000000000000000e+00,3.253333333333333144e+01,nan
2.750000000000000000e+00,2.218181818181818343e+01,nan
3.625000000000000000e+00,1.682758620689655160e+01,nan
4.500000000000000000e+00,1.355555555555555536e+01,nan
5.375000000000000000e+00,1.134883720930232620e+01,nan
6.250000000000000000e+00,9.759999999999999787e+00,nan
7.125000000000000000e+00,8.561403508771929793e+00,nan
8.000000000000000000e+00,7.625000000000000000e+00,nan
8.875000000000000000e+00,6.873239436619718035e+00,nan
9.750000000000000000e+00,6.256410256410256387e+00,nan
1.062500000000000000e+01,5.740991319575699414e+00,2.618408910083264737e-04
1.150000000000000000e+01,5.303834638631503395e+00,4.188049742415320088e-04
1.237500000000000000e+01,4.928339128994865703e+00,5.499877372345684688e-04
1.325000000000000000e+01,4.602734301268172068e+00,5.546854868866440318e-04
1.412500000000000000e+01,4.316216422457565649e+00,8.088302271758278112e-04
1.500000000000000000e+01,4.062465607650272759e+00,1.041013326040209725e-03
1.587500000000000000e+01,3.836707836323738352e+00,1.346624380839970495e-03
1.675000000000000000e+01,3.633229262539759752e+00,1.447814819572728869e-03
1.762500000000000000e+01,3.448148670154632889e+00,1.671891883338120534e-03
1.850000000000000000e+01,3.283373922020381031e+00,1.747588606251133285e-03
1.937500000000000000e+01,3.125372201797990357e+00,2.129328915326490594e-03
2.025000000000000000e+01,2.983938311273021338e+00,2.347298134949040924e-03
2.112500000000000000e+01,2.855340561451159331e+00,2.636156668634973086e-03
2.200000000000000000e+01,2.734185764530551399e+00,2.861551496430890691e-03
