T,chi,chi_err
1.000000000000000000e+00,3.662825000000000220e+00,8.979770187803746972e-02
1.875000000000000000e+00,1.180252647619047801e+00,4.005593673538532934e-02
2.750000000000000000e+00,6.262021298701295757e-01,2.396652442760070778e-02
3.625000000000000000e+00,4.074812216748768257e-01,1.684993593661009148e-02
4.500000000000000000e+00,3.009769841269841484e-01,1.376579705023808775e-02
5.375000000000000000e+00,2.362365448504983312e-01,1.133458545890076753e-02
6.250000000000000000e+00,1.981114285714285494e-01,1.042744636217445703e-02
7.125000000000000000e+00,1.737790676691728931e-01,9.966948066556612432e-03
8.000000000000000000e+00,1.475619821428570955e-01,7.988381614840122519e-03
8.875000000000000000e+00,1.275106478873239413e-01,6.519795684678194453e-03
9.750000000000000000e+00,1.166717069597069667e-01,6.248981303882302808e-03
1.062500000000000000e+01,1.042666352941176156e-01,5.843514480327926044e-03
1.150000000000000000e+01,1.047014161490683187e-01,5.939012066434247450e-03
1.237500000000000000e+01,8.565655411255408691e-02,4.764633983871587389e-03
1.325000000000000000e+01,7.615551482479783474e-02,4.340104135916242681e-03
1.412500000000000000e+01,7.272607838179519224e-02,4.132366894654557199e-03
1.500000000000000000e+01,6.859881904761903904e-02,4.125101070623165243e-03
1.587500000000000000e+01,6.895643644544431627e-02,3.814765924769337405e-03
1.675000000000000000e+01,6.710362473347546153e-02,4.260514243031506346e-03
1.762500000000000000e+01,6.012469300911853221e-02,3.382776056839429529e-03
1.850000000000000000e+01,5.256771428571427318e-02,3.040160851475804879e-03
1.937500000000000000e+01,5.070179539170507205e-02,2.707018646977925064e-03
2.025000000000000000e+01,4.969964021164019474e-02,3.271879644493357660e-03
2.112500000000000000e+01,5.293361961115807673e-02,3.198430531590599601e-03
2.200000000000000000e+01,5.036996753246753000e-02,2.842926671776172410e-03
