T,chi,chi_err
1.000000000000000000e+00,6.100000000000000000e+01,nan
1.875000000000000000e+00,3.253333333333333144e+01,nan
2.750000000000000000e+00,2.218181818181818343e+01,nan
3.625000000000000000e+00,1.682758620689655160e+01,nan
4.500000000000000000e+00,1.355555555555555536e+01,nan
5.375000000000000000e+00,1.134883720930232620e+01,nan
6.250000000000000000e+00,9.759999999999999787e+00,nan
7.125000000000000000e+00,8.561403508771929793e+00,nan
8.000000000000000000e+00,7.625000000000000000e+00,nan
8.875000000000000000e+00,6.873239436619718035e+00,nan
9.750000000000000000e+00,6.256410256410256387e+00,nan
1.062500000000000000e+01,5.741176470588235325e+00,nan
1.150000000000000000e+01,5.304347826086956097e+00,nan
1.237500000000000000e+01,4.929133961251863205e+00,2.248128862192700489e-04
1.325000000000000000e+01,4.603476642128053520e+00,2.968635477582536519e-04
1.412500000000000000e+01,4.318305527346582906e+00,2.784737704634950885e-04
1.500000000000000000e+01,4.066666666666666430e+00,nan
1.587500000000000000e+01,3.841776167290563926e+00,4.287305983167106257e-04
1.675000000000000000e+01,3.640264243699534497e+00,5.970570215742877253e-04
1.762500000000000000e+01,3.459430295081967088e+00,5.886871093762243963e-04
1.850000000000000000e+01,3.293894493575542537e+00,8.570460062169890344e-04
1.937500000000000000e+01,3.144526261237440057e+00,8.898869005518559574e-04
2.025000000000000000e+01,3.007002630236793816e+00,1.005023303423688156e-03
2.112500000000000000e+01,2.880590781647104581e+00,1.136451332382091162e-03
2.200000000000000000e+01,2.764154989567809473e+00,1.257759361623523014e-03
