T,chi,chi_err
1.000000000000000000e+00,7.000000000000000000e+00,nan
1.875000000000000000e+00,3.726932647619047412e+00,3.415806055437183453e-03
2.750000000000000000e+00,2.501194337662337563e+00,7.947791447312092805e-03
3.625000000000000000e+00,1.815943211822660164e+00,1.219086518056402071e-02
4.500000000000000000e+00,1.319539682539682346e+00,1.753738795359294569e-02
5.375000000000000000e+00,9.703671495016611415e-01,1.743694102528854997e-02
6.250000000000000000e+00,6.960729371428571177e-01,1.708040623589874435e-02
7.125000000000000000e+00,5.466703558897242354e-01,1.492978752028685692e-02
8.000000000000000000e+00,4.123410714285714596e-01,1.254534460042346089e-02
8.875000000000000000e+00,3.345461408450704499e-01,1.061542893404862804e-02
9.750000000000000000e+00,2.752773040293040041e-01,9.337706332751013680e-03
1.062500000000000000e+01,2.268208268907562497e-01,8.068847949605714026e-03
1.150000000000000000e+01,1.942693664596273628e-01,6.877663629166723934e-03
1.237500000000000000e+01,1.699683809523808986e-01,6.318050177990182890e-03
1.325000000000000000e+01,1.514898544474393427e-01,5.374029489575684465e-03
1.412500000000000000e+01,1.294546750948166736e-01,4.964533400494464122e-03
1.500000000000000000e+01,1.249157714285713955e-01,4.710157403808068119e-03
1.587500000000000000e+01,1.117624296962879543e-01,4.678456655102638043e-03
1.675000000000000000e+01,9.985415778251595376e-02,4.125085234415320178e-03
1.762500000000000000e+01,9.415168389057750054e-02,4.059576421873887890e-03
1.850000000000000000e+01,8.483242471042469479e-02,3.696742888207744156e-03
1.937500000000000000e+01,7.985783594470043101e-02,3.661441260966651155e-03
2.025000000000000000e+01,7.262699118165782952e-02,3.239869617100536291e-03
2.112500000000000000e+01,6.506132882502112247e-02,2.945890086124364204e-03
2.200000000000000000e+01,6.675197402597402019e-02,3.106342943367619482e-03
