# doping	kf	T	Mabs	Mabs_err	Chi	Chi_err	Tau
0.1	0.26	6.5	0.340824	0.0152932	0.436574	0.0341062	2.24624
0.1	0.26	6.86667	0.338588	0.0173075	0.420308	0.0367104	2.71678
0.1	0.26	7.23333	0.308824	0.0168191	0.338209	0.0313112	2.89052
0.1	0.26	7.6	0.298353	0.0151371	0.293529	0.0259635	2.65753
0.1	0.26	7.96667	0.292235	0.0174516	0.274051	0.0289104	3.4065
0.1	0.26	8.33333	0.307647	0.0171867	0.283936	0.0277719	3.30795
0.1	0.26	8.7	0.295647	0.0164125	0.244081	0.024251	3.27552
0.1	0.26	9.06667	0.266824	0.0197177	0.19873	0.0260461	5.52043
0.1	0.26	9.43333	0.283176	0.0198491	0.206903	0.0258702	5.32995
0.1	0.26	9.8	0.292235	0.0216738	0.214232	0.0277151	6.16245
0.1	0.26	10.1667	0.264	0.0221967	0.178324	0.0264982	6.62528
0.1	0.26	10.5333	0.247765	0.0157247	0.150031	0.0171904	3.88241
0.1	0.26	10.9	0.262	0.0218649	0.162508	0.0241714	6.58554
0.1	0.26	11.2667	0.254471	0.020435	0.14645	0.0216914	6.45386
0.1	0.26	11.6333	0.257412	0.0209686	0.148779	0.0213486	6.16437
0.1	0.26	12	0.243882	0.0173896	0.128251	0.0169918	4.85805
0.1	0.34	1	0.818353	0.00976976	12.1956	0.21505	1
0.1	0.34	1.36667	0.657294	0.0129811	6.42188	0.185646	1
0.1	0.34	1.73333	0.536706	0.0126208	3.60466	0.132598	1
0.1	0.34	2.1	0.444118	0.0128869	2.26677	0.103345	1
0.1	0.34	2.46667	0.391765	0.0114125	1.50395	0.0733627	1
0.1	0.34	2.83333	0.379882	0.0126728	1.22029	0.0685622	1.33569
0.1	0.34	3.2	0.330471	0.0134221	0.855201	0.060135	1.7201
0.1	0.34	3.56667	0.309059	0.0144864	0.678834	0.0564528	2.23705
0.1	0.34	3.93333	0.301765	0.014466	0.583923	0.0477739	2.37222
0.1	0.34	4.3	0.293176	0.0212997	0.505455	0.0649483	5.39479
0.1	0.34	4.66667	0.278824	0.0166585	0.426685	0.0458827	3.51121
0.1	0.34	5.03333	0.281882	0.0183369	0.403055	0.0465963	4.1103
0.1	0.34	5.4	0.277765	0.0218383	0.360995	0.0498096	6.198
0.1	0.34	5.76667	0.259294	0.0175942	0.29243	0.0352165	4.84018
0.1	0.34	6.13333	0.263176	0.0235595	0.296221	0.0471132	7.21308
0.1	0.34	6.5	0.265059	0.0204004	0.2686	0.0368466	6.39219
0.1	0.34	6.86667	0.244706	0.0182989	0.222781	0.0300421	5.55494
0.1	0.34	7.23333	0.236471	0.0200117	0.199858	0.0310319	6.86969
0.1	0.34	7.6	0.232235	0.0229963	0.18215	0.0333539	9.58399
0.1	0.34	7.96667	0.244588	0.019433	0.193334	0.0281988	6.13479
0.1	0.34	8.33333	0.262235	0.0237434	0.204871	0.0337582	8.90267
0.1	0.34	8.7	0.242235	0.019888	0.163972	0.0249615	7.28078
0.1	0.34	9.06667	0.241412	0.0226519	0.164364	0.0281199	8.71346
0.1	0.34	9.43333	0.247529	0.0234496	0.165461	0.0285357	8.69278
0.1	0.34	9.8	0.232118	0.0241438	0.137117	0.0256338	11.575
0.1	0.34	10.1667	0.215765	0.0225764	0.117535	0.0233651	10.5309
0.1	0.34	10.5333	0.232471	0.0216345	0.127716	0.0221747	8.99655
0.1	0.34	10.9	0.209294	0.0207844	0.10197	0.018393	9.34939
0.1	0.34	11.2667	0.216471	0.0200632	0.106272	0.0179133	8.36487
0.1	0.34	11.6333	0.210353	0.0275581	0.0995916	0.0244196	15.8854
0.1	0.34	12	0.207529	0.0216474	0.0945019	0.0184598	9.68283
0.1	0.42	1	0.291882	0.0100856	2.31286	0.144078	1
0.1	0.42	1.36667	0.290824	0.00982507	1.65191	0.100863	1
0.1	0.42	1.73333	0.294941	0.0128292	1.26456	0.0967761	1.93614
0.1	0.42	2.1	0.299059	0.0132697	1.08638	0.0850418	1.9668
0.1	0.42	2.46667	0.254471	0.0124496	0.673813	0.0596639	2.34719
0.1	0.42	2.83333	0.267765	0.0161267	0.644439	0.0683546	3.6193
0.1	0.42	3.2	0.246941	0.0149304	0.486956	0.0541417	3.62056
0.1	0.42	3.56667	0.241882	0.0146101	0.415743	0.0471529	3.64959
0.1	0.42	3.93333	0.240588	0.0163785	0.373381	0.0461224	4.42504
0.1	0.42	4.3	0.225882	0.0152265	0.305619	0.0384727	4.32259
0.1	0.42	4.66667	0.227647	0.019271	0.287492	0.0460382	6.83164
0.1	0.42	5.03333	0.229647	0.0181181	0.269531	0.0391556	6.06361
0.1	0.42	5.4	0.220235	0.0174291	0.229921	0.033875	6.12509
0.1	0.42	5.76667	0.214	0.0200363	0.203624	0.0362698	8.61587
0.1	0.42	6.13333	0.234	0.0202248	0.227194	0.0359823	7.47849
0.1	0.42	6.5	0.217647	0.0231095	0.182457	0.0349498	11.8105
0.1	0.42	6.86667	0.220118	0.0229357	0.177948	0.0348428	11.1303
0.1	0.42	7.23333	0.226	0.022985	0.180017	0.032655	10.0673
0.1	0.42	7.6	0.202235	0.0155315	0.133157	0.018575	6.17583
0.1	0.42	7.96667	0.224588	0.0220842	0.15848	0.0294826	10.2331
0.1	0.42	8.33333	0.238118	0.0306426	0.177546	0.040068	15.3248
0.1	0.42	8.7	0.184588	0.0164823	0.10095	0.0169061	7.7018
0.1	0.42	9.06667	0.208235	0.0227832	0.123848	0.0254693	11.1015
0.1	0.42	9.43333	0.215882	0.0226612	0.124175	0.0239919	11.1167
0.1	0.42	9.8	0.226118	0.0287426	0.137628	0.032527	14.6014
0.1	0.42	10.1667	0.205647	0.0186966	0.103968	0.0173509	8.4951
0.1	0.42	10.5333	0.223412	0.0232159	0.118139	0.0216926	10.6176
0.1	0.42	10.9	0.195294	0.0182806	0.0898427	0.0160694	8.58381
0.1	0.42	11.2667	0.219647	0.0249457	0.111293	0.0247136	12.1757
